STATE,CONSTITUENCY,NAME,SEX,PARTY,AGE,QUALIFICATION
ABIA,ABIA NORTH,MAO A. OHUABUNWA,M,PDP,56,"HND, PGD, MSC"
,ABIA CENTRAL,THEODORE AHAMEFULE ORJI,M,PDP,64,HSC B.A (HONS)
,ABIA SOUTH,ENYINNAYA HARCOURT ABARIBE,M,PDP,59,"B.SC, M.SC"
ADAMAWA,ADAMAWA NORTH,BINTA MASI GARBA,F,APC,47,TECH. CERT
,ADAMAWA SOUTH,AHMADU ABUBAKAR (MOALLAHYIDI),M,APC,57,MSC
,ADAMAWA CENTRAL,ABDUL AZIZ MURTALA NYAKO,M,APC,43,GCE
AKWA IBOM,AKWA-IBOM NORTH EAST,BASSEY ALBERT AKPAN,M,PDP,42,"B.SC, MBA"
,AKWA-IBOM NORTH WEST,GODSWILL OBOT AKPABIO,M,PDP,52,"LLB, BL"
,AKWA-IBOM SOUTH,NELSON ASUQUO EFFIONG,M,PDP,61,"B.A, MBA"
ANAMBRA,ANAMBRA NORTH,STELLA ADAEZE ODUAH,F,PDP,52,B.SC (BUS. ADM)
,ANAMBRA CENTRAL,UCHE LILIAN EKWUNIFE,F,PDP,44,"B.ED, PGD, MBA"
,ANAMBRA SOUTH,EMMANUEL ANDY NNAMDI UBA,M,PDP,56,"B.A, PH.D"
BAUCHI,BAUCHI CENTRAL,ISAH HAMMA MISAU,M,APC,41,BSC
,BAUCHI SOUTH,MALAM ALI WAKILI mni,M,APC,54,BA
,BAUCHI NORTH,SULEIMAN MOHAMMED NAZIF,M,APC,44,"B.ENG, MIAD"
BAYELSA,BAYELSA EAST,MURRAY-BRUCE BEN,M,PDP,58,B.SC.
,BAYELSA CENTRAL,EMMANUEL PAULKER. IZIBEFIEN,M,PDP,59,B.SC
,BAYELSA WEST,OGOLA FOSTER,M,PDP,60,TC II
BENUE,BENUE NORTH EAST,BARNABAS ANDYAR I. GEMADE,M,APC,66,B.TECH
,BENUE NORTH WEST,AKUME GEORGE,M,APC,66,"BSC, MILR"
